A00,A01,A02,A03,A04,A05,A06,A07,A08,A09,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,A20,A21,A22,A23,A24,A25,A26,A27,A28,A29,A30,A31,A32,A33,A34,A35,A36,A37,A38,A39,A40,A41,A42,A43,A44,A45,A46,A47,A48,A49,A50,A51,A52,A53,A54,A55,A56,A57,A58,A59,A60,A61,A62,A63,wetland_label
-1190,-199,-1793,-2441,-669,-1358,-753,984,2364,-711,1537,753,-1600,-354,271,-1476,1600,-935,88,325,935,354,-384,-1034,-448,2844,553,-3742,-448,753,-669,199,1860,-2364,-797,1417,1417,1663,-103,448,1190,591,-1860,-325,935,-74,1860,-448,1727,-1600,-591,482,1998,-553,-246,177,-842,120,-22,1137,753,1301,222,384,8
-1727,-1929,-984,-325,1034,-74,1537,61,517,-384,517,-120,-1600,177,-629,2364,-1190,1034,1358,354,-669,-984,-297,1663,1600,-384,1727,-1727,1537,-753,-1358,415,591,448,-1860,2214,-2141,-177,-1417,1034,1358,797,-1537,297,1137,-2364,-448,-138,2519,-1417,-2844,222,325,-1476,1793,-935,-1190,-797,-177,1137,842,-553,-415,-711,8
-1537,-1793,-1245,-935,1190,199,1727,199,354,325,669,-415,-711,-49,-1663,1245,-2069,517,5,842,-1537,-448,-842,1998,1476,-1301,49,-2069,2069,-384,-1417,49,1034,-22,-2761,2844,-2441,-753,49,711,629,711,-177,-482,753,-2069,1034,448,1998,-2441,-1034,753,591,-1085,1245,-517,-482,-1727,-1085,246,-711,-1793,415,935,8
-1537,-1034,-2288,-1537,553,-1793,842,935,30,553,325,-629,-1301,15,-3188,2069,-1085,-61,-138,984,-88,-842,-1358,448,888,935,1301,-1793,2679,-711,-1417,1190,-177,448,-591,2761,-553,415,-1190,74,753,553,-1663,669,669,-711,1245,-1190,2364,-3368,-1034,448,1793,-842,553,984,-74,-1358,-88,-103,-415,-629,448,415,8
-1663,-1793,-22,-753,1663,103,1417,30,-157,-88,138,-1034,-1245,-30,-1245,2364,-1358,415,1663,591,-448,-297,-384,1860,1860,-1137,246,-2441,1190,-797,-984,222,797,797,-3188,2441,-2069,-222,-1137,415,1929,888,-1085,177,1085,-2928,448,9,1663,-2141,-1476,-448,415,-629,1085,-482,-1417,-553,-842,1137,-30,-517,-354,517,8
-2069,-1929,-1537,271,-138,-1034,517,157,103,-1190,1085,-49,-1476,-157,-1663,842,-1034,448,629,842,-1417,-1663,-669,2364,1476,842,1860,-2364,1245,517,-2519,325,448,797,-222,2519,-984,-888,-1476,325,553,1137,-669,120,271,-1245,222,-297,2519,-935,-3368,711,669,-984,2141,-1190,-297,-1190,74,0,984,-1190,199,-888,8
-1929,-1929,-1663,-222,935,-354,1137,103,177,-157,88,49,-1245,271,-797,2364,-1417,797,1537,138,-669,-1034,-753,1663,1301,-753,1600,-2141,1600,-753,-1245,669,591,384,-1358,3014,-1537,74,-1190,984,1663,1245,-1727,482,1358,-2214,61,49,2141,-2214,-2364,-354,517,-1476,1600,-517,-842,-842,-842,842,669,-935,-222,177,8
-1998,-1417,-1793,-753,-246,-1793,553,103,1600,-753,-271,1358,-797,888,-1245,138,-1358,1727,1476,-354,-1137,-553,-61,2141,-222,-591,2214,-448,448,-415,-591,-49,1358,-271,711,2214,-1417,-177,-325,711,415,591,-984,-753,246,-1537,297,-384,2519,-1537,-3014,935,-222,-2761,2844,-1663,-888,-753,-1034,-797,842,-1663,22,-517,8
-1417,-1537,-1793,-1417,246,-1727,753,984,-120,-297,-297,-325,-1537,297,-2364,2141,-1245,-49,1476,842,-384,-753,-517,354,629,-415,1137,-2214,2214,-888,-1085,842,-354,297,-1245,3460,-415,-138,-1190,753,888,1793,-2441,842,1245,-1417,669,-246,2441,-2519,-1034,-271,354,-1998,1085,517,-591,-984,-797,797,-49,-448,-103,448,8
-984,246,-1190,-2364,-711,-1929,199,1600,1417,-138,-30,1190,-1537,297,-157,-935,517,-797,984,-138,842,1476,-888,-797,-297,1476,297,-3839,-797,297,-1085,-103,553,-2519,-842,1793,711,984,-711,-138,1663,2069,-2288,-246,1085,74,2214,-1034,2214,-1998,-1137,1034,1793,-888,-517,-246,-482,591,-354,1358,246,935,-888,-22,8
-1600,-1600,-888,-325,222,-1034,157,448,1034,-30,-297,354,-1034,-15,-591,1929,-1600,669,1663,-88,-384,-842,-448,1727,177,88,2069,-1998,753,-354,-1301,1190,88,753,-1537,2928,-103,415,-1358,1085,2441,1301,-2288,553,2288,-2141,-222,-591,1929,-1137,-2844,177,-199,-1860,1663,-1537,-935,384,-711,984,1190,-325,-384,-297,8
-2069,-1929,-1358,553,199,-591,1034,246,797,61,-591,246,-711,482,-753,1929,-1358,591,753,222,-517,-1137,-297,2288,984,-88,1537,-1727,1190,-88,-1245,1417,-88,297,-1034,2364,-1417,-177,-1663,1245,2288,629,-1929,448,2069,-2141,-325,-629,1860,-984,-3014,325,-177,-1860,1929,-1998,-1034,-271,-1245,888,325,-888,297,-354,8
-1998,-2069,-1190,-157,553,-797,1417,-120,984,-103,-30,271,-935,74,-797,2214,-935,1085,1600,-138,-1034,-1137,-138,1663,1476,-935,1476,-1245,888,-797,-1034,888,711,297,-1034,2141,-1929,-297,-1245,1537,1860,888,-1793,797,1537,-2679,-325,-222,2288,-1727,-2844,-177,177,-1663,1998,-842,-1301,-553,-669,1034,669,-482,-297,354,8
-1663,-1860,-984,-415,271,-669,222,-49,1190,-711,88,842,-1358,354,-842,1537,-1417,1537,1537,-415,-1190,-888,-177,2441,39,325,2069,-1600,1663,-553,-1245,984,517,-39,-669,2928,-888,-88,-1137,1190,1417,629,-1600,22,1727,-1417,-669,138,2214,-1085,-3460,842,-199,-1727,2441,-1417,-753,-354,-591,711,984,-553,517,-517,8
-1301,-1358,-1476,-448,591,-1034,711,591,553,-448,61,199,-1476,-30,-842,1417,-1663,1034,1998,9,-711,-888,-297,1600,984,30,1600,-2141,1476,-591,-1358,1245,297,711,-1190,3188,-842,-88,-1417,753,2141,1727,-1929,199,1929,-2069,-9,2,2761,-1358,-2214,222,-22,-2141,1860,-517,-517,-199,-753,888,1137,-517,-797,-61,8
-1245,-2364,-553,-591,1245,629,1727,-553,222,-629,448,591,-1476,482,-354,2761,-888,1537,1600,-354,-415,-1417,-49,1301,1793,-591,1537,-669,984,-325,-797,-177,415,1034,-1417,1663,-1998,-1245,-1727,1929,984,888,-1137,711,842,-1998,-415,-222,1929,-1929,-2761,-448,-246,-2214,2288,-1245,-1358,-297,199,753,753,-384,-415,-629,8
-1929,-2141,-888,-246,842,-415,935,-30,354,-222,297,517,-797,517,-888,2214,-1537,842,1476,-39,-517,-1190,-482,1929,984,-271,1727,-1537,1245,-669,-1245,591,482,629,-1663,3014,-1245,-222,-1085,1137,1727,984,-1600,629,1600,-2441,-297,49,2214,-1727,-3100,177,271,-1600,2141,-888,-1301,-199,-448,553,797,-246,-157,-297,8
-1600,-1998,-1190,-325,888,-325,797,177,842,-711,103,669,-1190,222,-384,2519,-1245,1190,2141,-157,-888,-1137,-138,1476,1034,-325,1727,-1727,1358,-753,-888,669,222,591,-1137,2844,-1137,-354,-1301,1600,2069,1417,-1600,629,1929,-2069,-553,9,1860,-1476,-2761,9,-384,-1793,1998,-797,-984,-61,-271,797,1190,-222,-384,-384,8
-1476,-1358,-1085,-1537,517,-1476,1034,842,-297,-629,935,-842,-984,49,-2441,753,-1793,591,1137,984,-591,-1190,-415,629,842,553,1476,-2069,1600,-553,-1600,553,448,1301,-1537,3553,-935,120,-1537,-553,888,1417,-1358,177,30,-1600,935,22,2761,-2928,-1793,935,1190,-1537,1417,482,-271,-1034,-482,-199,517,-1137,-482,-103,8
-1600,-1793,-888,-297,591,-753,669,22,629,-103,448,553,-1137,297,-888,2141,-1476,797,1476,-271,-1301,-1358,-354,1929,984,-384,1600,-1600,1085,-591,-1476,753,669,669,-1137,3368,-935,-157,-1085,1417,1537,1476,-1793,669,1600,-2441,-517,-61,2069,-1537,-3014,199,271,-1600,1929,-984,-1137,-177,-517,842,888,-448,-74,222,8
-711,-753,-1137,-354,1417,-1034,1600,49,415,842,-935,-1476,-2069,61,-888,2288,-138,-888,-797,1034,-384,-384,669,629,1137,-711,-1417,-3553,1537,711,-1929,1358,1998,-415,-1085,1085,-1034,1245,-1998,984,1600,1998,-984,-935,-448,-1137,1600,-1600,669,-1600,415,222,984,2441,1417,711,-1301,-1358,-1137,415,629,-1190,222,-271,8
-1476,-1190,-1929,-1245,177,-1793,753,1417,88,-9,-517,-2,-1929,354,-2519,2364,-1034,61,1190,797,-49,-842,-482,384,629,271,1358,-2441,1860,-984,-1358,1034,-415,-415,-888,3100,-354,-15,-1600,482,1034,1929,-2761,482,1085,-1085,888,-553,2441,-2214,-1358,-61,517,-1358,935,888,-415,-669,-669,888,325,-384,-415,591,8
-1537,-1537,-1663,39,797,-753,842,753,415,-553,711,482,-888,199,-842,1600,-1417,888,1600,448,-517,-1358,-354,1663,1245,-49,1600,-2214,1476,246,-1245,1301,49,325,-711,3368,-1358,-415,-1727,629,1727,1537,-1358,553,1727,-1417,61,-297,2364,-1358,-3188,415,-74,-1727,2364,-553,-354,-482,-553,415,984,-415,-157,-553,8
-1137,-629,-2679,-1245,271,-271,842,138,669,-138,482,103,-1727,-5,-2364,888,-1190,482,325,1085,384,-325,-711,935,591,711,1301,-1537,2761,30,-354,2364,753,-246,-2214,1998,-297,842,-669,138,1190,-30,-1929,-120,2288,-1358,1727,-1190,2928,-2519,-1476,-711,935,-2214,1085,-15,-553,-1137,-297,246,984,-935,842,415,8
-1190,-1537,-1600,-1137,2069,-61,1998,-354,-517,753,-669,-120,-1034,629,-1245,1600,-711,753,1190,669,-448,-984,-49,1537,1727,-2141,553,-2519,1245,-30,-842,-629,1860,-246,-797,2288,-1929,-74,-935,1358,415,1245,-1600,177,-39,-1860,1190,-74,1929,-2679,-753,-711,517,-669,1998,-39,-2214,-1476,-1417,591,-669,-1358,-177,297,8
-984,-1417,-1190,-1245,1417,246,1663,-384,-591,-138,-49,-1190,-1860,120,-1998,2214,-1417,482,888,1034,-1085,-415,-138,1417,1600,22,74,-1793,2141,-591,-1727,984,888,246,-2441,2364,-1998,-842,-1085,753,1998,888,-711,-177,711,-2214,842,-199,1860,-2288,-1245,-591,1793,-1034,629,138,-1358,-1190,-753,1245,517,-984,325,629,8
-669,-2214,-935,-1358,1301,-629,1537,-120,9,1417,-297,-1727,-271,-222,-1358,984,-553,-1301,-517,591,-1929,629,-482,1190,591,-1860,-1929,-2844,1793,354,-2141,88,88,-415,-1793,1663,-1727,984,-1417,297,1600,1600,39,-271,-1034,9,1301,-1860,711,-2761,-120,1301,1537,711,297,-22,-797,-1537,-2069,271,591,-1793,222,103,8
-1663,-1727,-1358,-842,1663,15,1998,74,-61,-138,1085,-842,-984,354,-2069,935,-1998,517,222,1358,-1417,-482,-39,1600,2069,177,271,-1358,1537,-138,-1998,354,517,797,-1929,1929,-2844,-591,-711,984,1793,384,482,-517,553,-2069,1358,88,2679,-2441,-1476,842,1245,-1137,1190,-415,-517,-1245,-935,-120,-354,-984,297,61,8
-482,-1793,-1358,-1663,1476,271,1245,-984,-888,-448,1085,-1137,-2214,-669,-2214,1860,-1417,482,61,1034,-1085,553,-1301,1793,935,325,448,-1998,2364,-984,-1727,517,984,448,-2519,2519,-1727,-448,-888,-517,1190,935,-482,-246,669,-1663,935,-415,1727,-1929,-1860,-842,1537,-711,517,-222,-753,-1301,-177,1137,553,-1301,88,384,8
-1358,-1793,-984,-177,384,-1417,888,199,1034,-629,-138,482,-1417,-49,-591,1245,-1476,1190,1600,74,-629,-553,-448,1929,629,384,1727,-2141,1417,-384,-1537,1034,271,120,-711,3014,-797,-246,-1301,753,1929,1600,-1998,177,1793,-1860,-297,-271,2441,-669,-3188,629,-354,-1929,2141,-935,-669,325,-888,1137,1358,-448,-591,-482,8
-1793,-1929,-1137,49,629,-935,1358,-103,711,-797,177,354,-1301,354,-797,1793,-1537,1417,1860,415,-591,-935,-5,1727,1034,157,1793,-1600,1727,-935,-1663,415,482,517,-1417,2761,-1727,-553,-1190,797,1537,1301,-1417,-2,842,-2441,-325,246,2679,-1245,-2519,354,246,-1663,2214,-448,-1190,-222,-669,482,1085,-591,-553,-553,8
-1034,-935,-1358,-1301,553,-1793,1417,888,-246,-74,1190,-711,-888,297,-2441,669,-2069,-246,591,797,-1301,-1358,-271,1245,1301,297,-222,-2364,1600,-157,-2364,669,753,888,-984,2928,-1600,-448,-1417,9,1301,1727,-888,297,-448,-1663,1034,-384,2679,-2679,-1860,984,1727,-753,888,297,177,-888,-1137,88,-448,-1137,-103,354,8
-1537,-1860,-1358,-415,1476,-271,1301,-325,222,74,384,-61,-984,-30,-1190,2441,-1245,1034,1537,711,-222,-629,-448,1537,1537,-797,1190,-1929,1727,-753,-1137,711,797,297,-2069,2761,-1860,-354,-1034,753,1860,888,-1417,553,1137,-2519,384,103,2364,-2441,-2069,-553,711,-1245,1600,-246,-1476,-797,-591,888,591,-448,-177,157,8
-2069,-1301,-2069,-222,-246,-2441,246,199,1476,-246,74,271,-354,591,-1358,199,-482,-482,354,-384,-753,-384,-1085,1929,-5,-30,1417,-2141,157,711,-1358,1358,-30,-629,-177,1860,-935,1358,-935,482,2141,1476,-753,177,888,-1600,448,-1301,2679,-2844,-3460,1358,1245,-1476,1929,-1190,-753,-482,-1034,271,1190,-325,-9,-591,8
-842,-1358,-1727,-1417,103,-1929,753,984,-384,-15,-22,-271,-1860,74,-2928,1929,-1137,-797,888,935,0,-797,-1358,39,711,-61,842,-1727,2441,-797,-1301,1476,-415,246,-1085,3014,157,-325,-1537,553,669,1600,-2844,1085,1600,-1137,935,-1137,1998,-2288,-1034,-753,517,-1727,354,935,222,-1034,-517,1034,-222,-246,-39,984,8
-1034,-1476,-753,-1476,1245,-1245,1537,591,-888,-711,384,-297,-1860,517,-2214,1998,-1417,797,1417,669,-325,-888,-199,1034,1537,-61,984,-2141,1998,-1417,-1600,753,297,669,-1476,3100,-1137,-591,-1998,482,1085,1190,-1929,384,517,-1998,1034,384,2141,-1998,-1137,-415,415,-1137,1137,517,-753,-1417,-935,1245,-138,-711,-157,1034,8
-2288,-1600,-1793,1137,-49,-1417,1417,271,591,-49,199,-448,-1137,138,-1727,629,-1417,246,15,1137,-753,-591,-797,2844,1537,797,1301,-1537,984,354,-2441,711,-103,222,-157,1663,-1476,-517,-1600,-222,1137,711,-448,-49,517,-1034,49,-1137,2928,-984,-3553,935,1537,-1301,1663,-1793,-384,-629,-984,-39,384,-1476,103,-1137,8
-1860,-1727,-1034,103,199,517,1537,246,384,-753,1537,-103,-1301,415,-797,1600,-669,-103,-199,157,-1358,-2214,-517,1860,1929,-297,935,-1537,1476,797,-1663,797,384,842,-1245,2288,-1663,-1358,-1600,1476,753,888,-711,271,1190,-2214,-222,-199,1929,-753,-3553,271,325,-935,2214,-1245,-1085,-1417,753,482,199,-1537,669,88,8
-1537,-1860,-935,-1301,1417,517,1537,553,120,246,271,-1537,-711,0,-2141,1358,-2069,591,246,1417,-1358,-517,-517,1727,1793,-138,-246,-1860,1860,-74,-1860,415,325,-15,-2928,2214,-2679,-888,271,591,1929,-177,157,-591,669,-2141,1417,-30,1600,-2679,-935,629,1137,-1034,591,-88,-935,-888,-888,711,-246,-753,384,354,8
-1793,-1358,-1663,669,-711,-2364,842,711,1663,-984,-246,448,-1034,888,-1190,591,-711,-415,448,-553,-354,-199,-448,1929,-2,30,1190,-1998,-9,1245,-1663,1245,-935,-553,-61,1600,-842,984,-1793,222,1793,1301,-935,22,1476,-1245,88,-1190,3100,-1929,-3368,1245,325,-2069,1929,-1600,-448,-271,-984,1034,888,-517,-138,-711,8
-2141,-1929,-1929,246,22,-1929,354,-591,842,-797,222,553,-842,246,-1476,-120,-1034,1417,1034,797,74,-888,103,2364,-448,1245,2288,-1417,797,222,-1245,842,553,199,711,1727,-517,482,-1190,120,888,-325,-517,415,888,-629,-271,-553,2599,-1663,-4136,1085,517,-1860,2928,-1727,-384,-325,-482,-669,1245,-797,553,-753,8
-1727,-1537,-1417,-888,797,-384,415,629,325,-271,120,-157,-2441,553,-1663,1727,-1034,1137,2069,-1137,-1537,-1600,-222,2214,1600,-935,1085,-1600,797,-591,-1358,591,1190,482,-669,2441,-1245,-669,-1034,1600,1190,753,-1727,49,797,-2141,-138,-384,2214,-415,-2844,448,-39,-1358,1793,-935,-1245,-1137,246,1085,1085,-1085,-88,384,8
-1034,-2214,-1245,-1417,797,415,177,-246,-384,711,669,-797,-1600,-120,-1860,1793,-1998,246,297,-325,-1929,517,-1476,3014,517,-669,-61,-1998,1998,-1358,-1301,984,1417,271,-3100,2441,-1417,-629,246,517,1137,797,-74,-629,984,-1663,297,49,1301,-1929,-1137,-246,1190,-1476,553,-1190,-591,-1417,-1034,753,222,-1034,1034,1034,8
-1085,-1929,-1137,-448,1998,-157,1793,-199,-157,-384,-271,-797,-1417,297,-482,1929,-935,517,1663,935,-517,-1085,-199,1301,1358,-591,842,-3100,1793,-984,-1727,-384,797,177,-1301,2679,-1476,61,-2141,888,1417,1998,-1600,271,157,-2214,325,157,1600,-1793,-1476,-517,246,-415,2069,482,-1245,-711,-1727,888,842,-984,-711,61,8
-1417,-246,-354,-1085,199,-1860,1998,246,888,-1085,1998,1137,-1417,797,-1417,222,-842,711,-935,-297,-1727,103,-88,2069,935,1034,1137,711,842,-2069,-2069,-753,1034,517,-138,1476,-2364,-797,415,-711,-222,517,842,-2679,-1929,-1137,1663,553,2844,-1301,-1034,1085,1190,-325,1727,-177,-517,-1245,-1245,-1537,-842,-1929,9,753,8
-2069,-2069,-669,271,669,384,2441,157,-157,-1034,935,-1793,-1301,553,-1301,1793,-888,-222,-177,120,-669,-1301,-1034,1727,2288,591,325,-1137,1417,415,-888,-177,-842,1085,-1417,591,-2441,-553,-2441,797,1301,246,-222,553,842,-1301,-1190,-384,1727,-1417,-4340,177,842,-297,1600,-1085,-482,-517,-9,888,384,-1600,482,138,8
-1358,-297,-2599,-297,-888,-2844,49,-49,1793,-222,-797,553,-22,-30,-1245,-842,-591,-120,246,-177,-297,177,-888,1600,-984,1034,1085,-2519,-22,1301,-1727,1600,415,-1034,222,1476,157,2288,-753,-482,1929,1137,-842,-222,984,-177,842,-1245,2679,-3014,-2441,1190,1860,-1417,1600,-1034,-138,30,-1137,-177,1417,157,888,-753,8
-1860,-1929,-1358,797,-74,-984,629,177,1358,-297,-888,222,-1476,517,-935,1301,-1301,448,797,448,138,-984,103,2599,177,354,1600,-1537,1301,222,-1600,1190,61,517,-984,2141,-669,-415,-1860,935,2214,1085,-1301,271,1417,-2069,-591,-984,1929,-669,-3460,711,-61,-1929,2141,-1793,-1137,-120,-1358,448,753,-1245,-74,-553,8
-2599,-1190,-1137,-157,246,-1417,1085,-88,1476,-246,711,1860,-1137,984,-1417,1034,-1137,1358,271,-935,-669,5,-591,2844,711,-448,2141,-448,842,-1137,-1034,138,842,-415,-354,2844,-1663,2,-246,222,157,30,-888,-888,384,-1600,984,271,3100,-1929,-2364,842,246,-1663,2679,-1085,-1301,-553,-1301,-222,-157,-1301,0,482,8
-1358,-1137,-1034,-1190,984,-1929,1417,984,-246,246,1476,-669,-669,-448,-2519,415,-1417,415,-935,984,-1358,-482,-984,1301,1727,888,271,-2761,1301,-103,-3014,-39,384,888,246,2364,-1417,-711,-669,-711,1085,1190,-517,-88,-797,-669,1793,-199,2761,-2441,-1190,1537,1537,88,553,88,482,-1417,-1600,-61,-984,-1245,-415,553,8
-1190,-2288,-1190,-1537,1137,-15,1034,325,-842,157,1358,-984,-1085,22,-2679,1358,-1137,-753,591,-157,-1929,-1034,-1301,1793,1663,-935,271,-1476,1245,-517,-1727,325,935,1190,-1860,2364,-1793,-1085,-271,797,984,753,-74,30,177,-2441,1085,-415,1301,-2441,-1929,-39,1245,-1476,797,-354,-591,-2364,39,415,22,-1190,482,1301,8
-888,-1998,-1537,-1245,984,-591,1600,246,-935,-842,1663,-1034,-1301,120,-2441,448,-2519,-74,-669,1929,-1301,-669,-753,1417,1476,448,517,-888,1663,271,-1998,-629,1137,935,-888,2214,-2214,-1137,-1190,-482,-384,711,448,-1085,-297,-984,1358,-1034,2069,-1358,-2519,384,1663,-1600,1245,103,325,-1190,-415,517,517,-2141,-711,-482,8
-1793,-1537,-1245,-384,-177,-1998,984,297,-61,-448,888,-325,-1417,-120,-2364,517,-1663,553,888,354,-1190,-517,-984,2214,935,517,1085,-1929,1085,-297,-2214,935,384,797,-753,2761,-935,222,-1301,-842,1301,1600,-1137,49,935,-1476,711,-448,3278,-1476,-2679,888,984,-1793,1860,-629,61,-1034,-797,246,797,-1137,-157,-222,8
-1301,-1663,-1417,-591,1190,-325,1137,88,157,325,138,103,-797,88,-935,2441,-1727,1190,1727,354,-448,-517,-517,1034,1417,-797,1727,-1537,1537,-1137,-888,1034,415,354,-2141,2928,-1537,-157,-935,1137,2214,984,-1860,271,1860,-2214,297,22,2364,-2288,-1793,-669,553,-1793,1301,-325,-1245,-325,-669,842,935,-482,-177,157,8
-1537,-553,-1537,-1085,120,-1793,1034,1137,199,-354,1245,-842,-553,-5,-2519,-199,-1929,1245,669,629,-1085,-591,-591,888,711,591,935,-2069,1137,325,-1663,935,-88,1301,-935,3014,-984,711,-1476,-753,1190,1417,-984,-5,103,-482,984,-1245,2928,-2928,-1929,1793,1358,-1998,1245,30,448,-711,-517,-842,415,-1190,-199,-669,8
-1537,-1727,-1137,-222,448,-629,325,199,797,-61,-177,297,-1245,-103,-711,2214,-1245,1358,1929,-325,-1034,-1034,-325,2069,842,-384,1476,-1929,1137,-753,-1537,888,415,-103,-1600,3100,-1137,-384,-1301,1085,1929,1417,-2214,591,1663,-1860,-591,-246,1998,-1034,-2844,325,-30,-1358,1860,-1034,-1190,271,-354,842,1301,-354,-415,-448,8
-1358,-2364,-1085,-354,482,-1860,1358,222,354,-1600,797,-888,-1476,-553,-1727,553,-1600,984,1358,753,88,-629,-1034,711,669,1929,2141,-2069,1600,246,-1034,325,-1245,984,-120,1998,-1476,-74,-1245,-448,1245,711,-1034,271,1358,-1137,-711,0,1929,-2214,-3188,753,120,-1245,2069,-325,711,517,-482,711,1929,-935,-1476,157,8
-1600,-629,-1600,-1537,-5,-1085,629,-222,888,-984,1034,1417,-1301,1476,-1663,1034,-1085,1245,1476,-1085,-2141,-629,-517,2214,39,-199,1998,-49,842,-1417,-1085,-482,1663,-157,797,2519,-1929,-448,-297,753,-325,591,-246,-1537,-591,-1034,482,448,2928,-1663,-2519,591,448,-1537,2519,-984,-199,-1358,-297,-1301,384,-1476,297,-177,8
-1537,-1793,-1358,-271,1034,-669,1137,88,157,-384,222,222,-1190,39,-1137,1929,-1358,1245,1663,629,-669,-1245,-354,1663,1358,-354,1245,-1998,1600,-797,-1476,753,888,591,-1245,3188,-1476,-482,-1358,711,1727,1358,-1600,482,984,-2364,-5,49,2599,-1860,-2441,-88,753,-1301,1860,-297,-1085,-517,-415,984,591,-888,-384,-199,8
-711,-1245,-1998,-1358,1663,-591,888,842,-753,482,-1301,-984,-1929,354,-2364,2844,-591,-177,591,1663,-842,-222,222,120,1190,49,-482,-3278,2599,-1034,-1860,553,-61,-517,-984,3188,-842,-753,-1137,297,1476,1998,-1663,-325,39,-1245,1537,-222,753,-1476,669,-629,711,842,842,517,-1417,-669,-415,1137,-591,-935,-384,448,8
-1137,-669,-1417,-1034,591,-1476,1085,1417,-325,199,-222,-325,-1034,629,-2069,1476,-1301,629,1663,553,-448,-888,-222,984,1034,0,797,-3188,1476,-711,-1663,1137,138,-138,-1600,3278,-935,39,-1727,-39,1537,1860,-2288,415,629,-1301,1137,-325,2679,-2599,-1245,842,797,-1358,1245,482,-39,-888,-935,591,354,-553,-935,177,8
-482,-888,-1476,-22,1793,-1085,2364,199,297,354,-935,-482,-1727,138,-138,2214,-384,-120,711,888,-222,-1600,1190,1137,1600,-1301,-517,-3839,1663,246,-1929,30,1663,-74,-984,1793,-1085,629,-1929,1245,1245,2599,-2069,-325,-415,-1663,935,-711,1085,-1190,-415,-177,-384,1476,1929,448,-1301,-711,-1476,177,553,-384,-553,-199,8
-1358,-2069,-629,-753,1663,-1034,1600,222,-482,-246,-49,74,-753,888,-297,1998,-1476,415,1860,222,-591,-1929,271,1137,1301,-797,797,-2679,1358,-842,-1793,-553,629,553,-1034,2928,-888,-384,-1793,1085,1476,2441,-1793,629,-222,-2519,325,325,1663,-1358,-1727,-138,-138,-842,2141,517,-1301,-935,-1600,271,482,-517,-591,61,8
-1663,-1301,-1929,-591,-246,-753,1727,1137,-49,-1034,1417,-5,-1358,482,-2441,797,-1137,-1034,49,842,15,-1537,-984,482,1190,482,1417,-1537,1998,415,-1245,1860,-354,711,-1537,2288,-271,74,-1860,157,384,888,-1358,711,1358,-984,1190,-1190,2364,-2761,-2679,271,935,-2069,1301,177,669,-1600,222,177,517,-984,448,384,8
-1929,-2599,-1301,-935,-354,-935,271,1190,415,753,384,-120,-629,88,-1476,297,-1860,842,1085,-49,-935,138,-984,1727,-1301,-1034,1727,-1727,1301,-591,-1358,1245,-49,325,-1929,2928,482,-482,-1301,1860,74,669,-1085,199,935,-199,-629,2,1727,-3014,-1860,935,325,-2928,1034,-1085,-482,517,-553,553,553,-2364,199,842,8
-1537,-2141,-1417,-935,669,-591,629,-297,-354,-517,553,15,-984,138,-1245,1998,-1600,482,1600,177,-629,-1476,-669,1727,753,138,1537,-1998,1663,-199,-1358,888,842,842,-1727,3014,-753,-15,-1476,753,1600,1301,-1537,517,1417,-2141,88,297,2214,-2288,-2441,-384,629,-2069,1860,-354,-669,-842,-591,553,842,-517,354,246,8
-1793,-1245,-1727,-1793,157,-1537,711,1860,246,325,384,-482,-1034,415,-2928,1600,-888,-222,354,553,-325,-711,-888,384,669,-88,1190,-1929,1860,-384,-1137,591,-797,0,-753,3278,-448,39,-1663,384,384,711,-1998,842,797,-482,1663,-1137,2679,-3742,-1190,797,842,-1860,1034,591,-39,-753,-384,246,-517,-669,-61,-2,8
-297,-1417,246,-1085,-222,-2928,-246,1929,415,103,482,984,-1998,-517,-2364,138,517,-984,-753,842,2069,-753,-222,-1301,-384,1600,-271,-1034,1727,120,-935,553,669,-120,-1034,1793,2844,797,-1793,-448,-482,1034,-3278,1301,120,984,1301,-3460,797,-1727,-88,384,888,-591,199,2069,325,-415,-384,325,61,1085,246,-199,8
-1727,-1860,-1137,103,199,-1190,842,591,711,-246,482,138,-1476,-199,-1085,1301,-1537,1034,1600,-103,-1190,-669,-629,1929,1301,-384,1476,-1998,753,-415,-1600,1358,-120,711,-1190,3014,-984,-199,-1190,797,1860,1358,-2069,482,1929,-2214,88,-354,2761,-984,-2519,354,-61,-1727,1537,-1417,-797,-297,-591,1417,842,-517,-297,-157,8
-1358,-1085,-553,-935,-354,-984,1137,384,-482,-74,1476,-888,-246,-246,-2214,271,-1793,591,1034,842,-1358,-591,-1137,1600,1417,753,1190,-1727,1476,-246,-2519,1137,49,1301,-1793,3188,-1358,-199,-1190,-297,1358,888,-1190,-517,354,-1085,1190,-325,2844,-2679,-1929,1085,2141,-1663,553,-669,-22,-517,-177,-138,984,-1034,448,-517,8
-1793,-1476,-448,-1190,-797,-1860,-138,157,1727,-669,1476,1929,-842,797,-1476,448,-1301,1476,842,-553,-1929,88,-842,2069,-669,74,2141,-9,888,-984,-1417,-222,629,-49,553,3368,-1358,-935,-120,354,-669,935,-753,-1358,-591,-797,1085,-138,2761,-1793,-2519,1085,-325,-1537,2519,-1137,-199,-553,-669,-888,482,-1537,297,-177,8
