A00,A01,A02,A03,A04,A05,A06,A07,A08,A09,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,A20,A21,A22,A23,A24,A25,A26,A27,A28,A29,A30,A31,A32,A33,A34,A35,A36,A37,A38,A39,A40,A41,A42,A43,A44,A45,A46,A47,A48,A49,A50,A51,A52,A53,A54,A55,A56,A57,A58,A59,A60,A61,A62,A63,wetland_label
-1245,-984,-297,-2441,842,-2599,-711,2141,1727,74,-222,157,-1727,-297,-2844,753,1245,-797,-384,-157,1537,199,39,-2441,-1358,1929,-61,157,1998,-935,629,-553,-325,-711,-271,1085,2141,1727,-1034,553,711,177,-3188,297,271,1190,-39,-2441,-297,-1137,935,49,-384,15,297,1929,-842,-1085,-88,-448,-1417,1034,935,935,11
177,177,-138,325,669,-1034,325,1793,2364,-157,-448,-1860,-1417,-517,1245,199,797,2141,-1358,246,-669,842,-354,1034,1358,1929,-1034,-711,3014,1190,-1034,553,1085,3100,-246,-2441,-61,1998,-1727,935,1190,842,1417,-1998,-935,1085,-1137,629,1034,-629,297,-120,1190,984,1245,-517,1190,-1034,-297,-415,2364,-1190,1245,-325,11
-1034,-1537,-669,-1537,517,-1860,-1727,2441,2141,-199,1537,1190,-888,-553,-1663,-88,1998,-1417,-1793,1137,1860,-1085,297,-1727,-753,2441,177,-629,1137,297,1137,157,1793,-888,-1137,842,2441,842,-61,1301,-629,-199,-1998,-138,-591,553,482,-2441,-629,-297,1245,-1085,-448,-120,935,1245,-1245,-1600,-553,-482,-1301,1663,384,669,11
-384,-1600,-222,-2214,325,-2599,-354,1929,1085,842,-271,984,-984,-482,-2288,711,1600,-842,-753,669,1537,384,-325,-1793,-935,2069,-120,669,1793,-1417,-448,-591,-222,-1190,30,888,2679,246,-1301,199,30,415,-3368,222,-246,1663,1358,-3278,-39,-753,669,-61,-271,-88,517,1998,-384,-1034,-984,-1358,-1301,384,711,888,11
-591,-1600,-157,-1929,49,-2141,-629,2761,1537,517,1137,669,-591,-711,-1929,-448,1663,-888,-797,297,1727,-448,354,-1727,-753,2441,-711,325,1727,-591,61,-246,797,-888,-482,629,2844,415,-888,177,-297,-271,-2928,711,-711,797,1301,-3553,103,-935,711,415,-448,-177,842,1998,30,-1190,-842,-1137,-1417,711,1190,669,11
-1301,-797,-177,-1998,61,-2288,-1245,3188,1998,103,1245,271,-842,61,-2288,-9,1663,-669,-1417,-354,1301,-888,-15,-2364,-591,3100,138,120,1476,30,222,138,984,0,-935,669,2519,2214,-711,629,297,-669,-2214,271,-103,2,-120,-1793,415,-629,984,222,61,-553,753,2214,325,-935,271,-297,-1358,1301,1417,1358,11
-1358,-2214,-888,-797,629,1034,669,517,591,984,1600,-629,-74,-199,-271,-415,-984,-1301,-888,-30,-1137,935,-1190,1600,-2599,-984,-384,-1476,1301,-984,-517,246,1476,-935,-1727,1663,-1034,-888,-138,2928,-753,-199,2214,-1301,-1190,1190,-984,1245,-797,-2364,-553,1663,-103,-629,-88,-888,-354,157,-553,-1085,-384,-3742,222,1998,11
-888,-1600,-448,-2288,354,-2141,-669,1600,1476,354,669,591,-888,-1137,-2519,482,2364,-1358,-1663,482,1245,61,120,-2214,-1476,3014,-384,448,1998,-1085,199,-246,888,-1085,-246,384,1358,888,-1301,222,482,629,-3100,157,-138,1245,935,-2844,-103,-669,669,271,-448,629,753,1190,-448,-1417,-88,-1085,-1476,-157,842,1085,11
553,-222,-1600,-384,1358,-517,1034,888,2364,-74,-669,-2288,-1190,-553,888,517,9,1793,-797,354,-629,1358,-1190,711,629,1476,-711,-297,3936,1476,-120,-984,711,1476,-1860,-1537,-888,1727,-354,1998,2141,2,1663,-1929,-354,711,-177,553,297,-797,-177,2,1663,-88,297,-120,297,-1245,-553,-1137,3014,-1537,1358,-222,11
-669,-1727,-935,-2214,177,-2141,-177,1137,222,553,-246,-103,-1476,-1085,-3014,1663,1085,-1358,-842,888,753,482,-888,-1358,-753,2214,-103,482,2364,-2441,-222,-246,138,-935,88,1301,2069,415,-1417,103,-482,177,-3460,354,482,1929,448,-2519,-177,-984,591,-553,-103,222,39,1663,553,-753,-753,-482,-1537,271,1417,1085,11
553,-177,-448,517,1417,753,1793,325,1860,-157,-591,-1301,-1860,325,-2,1137,-482,49,-1998,2441,-88,-39,591,1476,1358,-753,-1600,-888,1537,753,-1245,753,842,1190,-1301,753,-2599,-415,-3278,935,1417,1137,984,-888,-888,888,120,-3188,-15,-1245,-1034,669,842,297,711,-1301,-354,246,-482,-177,1998,-1860,-354,-2364,11
-1190,-1190,-88,-2069,120,-1600,-1793,2599,1476,-384,1663,49,-935,-138,-2141,271,1476,-711,-1085,-30,1727,-1034,-199,-2519,-935,3647,448,-384,1476,177,1034,-49,888,-271,-1663,711,2288,2069,120,1085,222,-935,-2141,354,-222,49,246,-1190,297,-1358,1600,88,-30,-1137,669,1793,354,-591,517,246,-1034,1245,1085,1137,11
-157,-222,-1600,842,753,-1998,103,2141,2761,-177,984,-842,-1537,-553,1537,246,1663,120,-2441,415,-297,-1085,-177,1085,1929,1727,-797,-271,1663,1137,-1663,482,1860,1727,354,-2441,-753,1600,-591,669,297,-415,1793,-1137,-1301,669,103,415,1358,415,-354,-591,553,2214,2214,325,415,-1137,-888,-711,2069,-1301,1137,797,11
1137,-384,-669,39,1301,-384,797,297,1793,354,-1476,-1600,-1137,-49,1245,-482,-61,1476,888,2069,-1245,669,1034,1600,1190,384,-1137,-629,2599,482,-325,517,1190,2288,-797,-297,-74,297,-1358,3188,935,2141,711,-935,-1600,1663,-74,-2441,-1417,-1358,22,-74,1727,0,711,-222,-246,-354,-1998,-2441,2214,-553,-177,-888,11
-1301,-448,-2288,-888,-842,-2928,-74,448,1417,222,-246,120,325,157,-935,-1600,-517,-448,354,61,-935,842,-1417,1301,-384,222,1245,-2214,629,797,-1417,1417,-88,-1034,-517,1663,325,2364,-246,-271,1793,1417,-935,-271,984,199,1476,-1998,2928,-2288,-2679,1537,1663,-1137,1417,-354,-553,-415,-1417,-1034,1417,-325,482,-325,11
-482,-935,-384,-2928,888,-1727,-384,1600,1085,74,-415,448,-2141,49,-2761,1245,1085,-1537,-88,553,1600,246,88,-2288,-1137,1793,74,-842,2288,-1137,553,-482,-271,-1245,-591,1417,2214,1034,-1085,753,-271,517,-3460,103,9,1137,448,-2519,120,-1245,1476,-482,-629,-246,30,1301,-669,-1417,-553,-415,-1537,629,271,984,11
-553,-1245,297,-2141,-39,-1793,-1137,2599,1190,-246,1476,246,-1537,-271,-2069,-297,1245,-797,271,-157,1793,-711,177,-2599,-325,2679,-61,384,2288,-591,384,553,177,-222,-1301,1600,2599,842,-354,629,-553,-1085,-2679,1034,354,517,49,-2599,297,-1137,1085,-49,-297,-711,120,2364,591,-222,74,-482,-1245,1301,1600,629,11
-553,-1476,-177,-1998,591,-2441,-415,2441,935,935,177,669,-1137,-553,-2519,753,1301,-669,-753,325,1417,177,-199,-1929,-448,2141,-138,1034,2214,-1600,-120,-711,-384,-797,-15,1034,2519,138,-1417,517,-222,-74,-3014,711,49,1929,984,-3014,2,-711,753,138,-199,-88,138,2141,157,-1085,-415,-1245,-1929,517,842,888,11
246,-138,-935,591,1034,49,935,1085,2761,-553,103,-1998,-2069,-246,1663,711,138,1245,-1358,591,-753,-199,271,629,1417,2364,-553,-325,3278,1727,-384,74,1358,1998,-1190,-1358,-1034,2214,-1600,1929,1929,-74,1727,-1998,-138,448,-1034,222,482,-15,74,-5,1085,199,1085,-354,753,-1301,-842,-888,2519,-1085,1301,-415,11
753,-49,-1245,1137,888,-1301,246,1663,2214,-1417,1358,354,-2288,-711,1727,-325,1358,-591,-2599,2141,-482,-2214,1034,753,1998,1929,-753,-591,1190,1600,-935,984,2364,1600,-711,-984,-354,1476,-1034,1476,-482,-629,1600,-935,-669,1137,-354,-297,1245,1190,-384,-935,138,1793,1727,-222,-482,-1417,-1190,-669,1929,-297,448,246,11
-297,-1537,-1137,-3278,553,-2069,-448,553,629,842,-553,753,-1245,-797,-2761,1085,1998,-138,-888,842,1085,935,-517,-1600,-2141,1600,-448,354,2679,-1190,222,-753,199,-1663,0,753,669,325,-1358,517,-39,246,-3460,-120,177,1929,753,-2288,-199,-1358,1137,-629,-325,-354,74,517,-1245,-1190,157,-797,-1998,-271,842,797,11
-797,-1727,-448,-1860,842,-1929,-1245,2288,1476,384,482,669,-1476,-629,-2069,246,1190,-753,-629,984,1860,-297,271,-2214,-669,2288,-22,-448,1929,-553,222,-222,297,-1137,-1301,1190,2844,354,-177,711,2,74,-3278,415,-325,984,1245,-3100,-482,-1358,1537,-384,-448,-354,177,1600,-711,-984,-415,-797,-1245,888,797,199,11
-384,-271,-711,-325,1301,-553,1929,517,1600,935,-2141,-2761,-797,-553,711,553,-415,1929,-553,984,-553,1417,482,1417,1417,-61,-1537,-297,2519,935,-384,-120,1190,2214,-591,-1085,-984,1600,-2519,2141,1476,1476,888,-1476,-1417,1190,103,-1417,-482,-1929,482,669,1860,-325,591,-74,-297,-297,-1663,-711,1727,-1727,-49,-1085,11
22,-199,-935,591,2141,553,1417,1245,935,120,-1034,-157,-1929,-797,711,246,-591,629,-1727,3553,-669,797,-120,1998,2844,354,-888,-935,1929,935,-553,935,1600,1727,-1793,384,-1860,-984,-1476,2599,1137,842,1600,-1358,246,669,1190,-1929,297,-711,-246,448,1034,-591,39,-711,74,-669,-2288,-157,-199,-1085,-1417,-297,11
-1727,-448,-1929,-711,-669,-2844,74,669,1417,9,-482,30,157,157,-984,-1245,-297,-517,415,-74,-553,517,-1245,1085,-354,448,1301,-2679,-9,888,-1537,1190,-157,-1358,-222,1600,517,2599,-711,-88,1860,1537,-1190,-120,842,222,1358,-1600,3014,-2599,-2599,1793,1663,-1085,1417,-325,-448,-448,-1190,-591,1417,-246,415,-711,11
-39,-177,1085,415,415,-1417,157,3100,1537,711,-753,-1600,-797,-669,1417,-415,1537,1929,-1537,482,138,1537,-888,984,1476,935,-482,-1358,2069,1301,-1034,-415,1301,2761,-120,-2288,-103,1793,-1600,-482,753,1929,448,-2069,-1085,1417,-415,1358,2069,74,-138,-15,138,1137,1998,49,669,-935,-711,384,1727,-1727,482,-199,11
-49,49,1793,-888,1034,-1537,482,2069,354,1860,-3278,-669,177,-61,-415,-74,629,2928,-271,88,797,2288,-553,1085,1245,-669,-1663,-1417,984,669,-553,629,1190,1929,-61,-1793,-271,1034,-1793,39,22,2364,-753,-2599,-1085,2599,448,30,-138,-1537,984,517,753,935,1358,-5,-297,-138,-1301,-120,1537,-1476,-120,-553,11
-74,-1190,-61,-2288,-271,-1929,-888,2214,842,-384,1301,711,-1137,-482,-1998,-138,1190,-1301,-325,271,1663,-888,-120,-2364,-669,2519,297,74,2288,-711,103,88,711,-354,-1358,1727,2761,842,-384,384,-1034,-984,-3014,935,120,935,629,-2214,120,-935,1245,-177,-842,-842,415,1998,842,-753,-61,-1034,-1417,1034,1793,1137,11
-711,-1929,-222,-2141,246,-2141,-591,1793,753,591,-74,482,-1301,-669,-2599,1085,1190,-984,-797,629,1358,415,-103,-1929,-1358,1860,-199,199,1998,-1245,-384,-842,-482,-1245,-482,1301,2679,271,-1663,482,-482,629,-3553,325,-517,1998,935,-2844,-49,-1245,1245,61,-669,-325,384,1245,-74,-711,-753,-271,-1663,-177,591,711,11
-669,-2141,-753,-1137,984,669,448,-61,-935,842,2441,-297,-711,354,-1537,-448,297,-1358,-1793,-246,-1301,-553,-888,1358,-1727,-271,222,-325,1085,-271,-1085,-138,1929,-797,-553,1085,-1301,-74,-711,3278,-325,-517,2364,-797,-1085,1537,-591,1137,517,-2288,-1998,2214,629,-517,711,-1190,-138,-984,138,-1085,-177,-3188,629,2214,11
-935,-1600,-177,-2141,177,-2364,-842,2288,1358,629,629,415,-591,-842,-2141,-199,1727,-888,-797,325,1793,-415,157,-1929,-984,2599,-271,103,1793,-753,325,-297,888,-1085,-271,842,2599,842,-797,157,-157,-517,-3100,753,-297,1085,1190,-3100,74,-935,888,271,-629,22,842,1998,-120,-1137,-888,-1137,-1245,888,1245,842,11
-753,-1663,-22,-30,1663,-354,-629,2141,-177,1537,-1600,-1034,-1245,-888,-354,-753,-591,842,-2441,2364,-1301,1663,-1476,1301,1085,61,-1600,-797,1245,753,-1663,-591,591,354,-1929,-553,-1663,-138,-1727,888,669,384,1663,-935,384,1998,842,-1190,984,-842,-753,1663,2214,-222,-553,-354,669,797,-2441,1245,325,-2928,-711,-177,11
-482,-1358,-482,-1085,1998,2288,1417,157,984,199,629,-2141,-1998,-120,-797,-354,-553,354,15,1998,-2141,-553,629,1137,1600,935,-753,-935,2364,-448,-1085,-246,1476,297,-1793,984,-2519,-591,-1301,2441,2214,88,1245,-1034,-325,-629,553,-711,1727,-753,-1727,1245,1085,-517,1600,-797,39,-1301,-415,-177,1190,-2364,222,-354,11
-1034,-1190,-711,-3014,935,-2519,-246,888,553,448,-517,271,-1358,-629,-3188,797,1793,-138,-935,448,1034,517,-246,-2288,-1663,2364,-448,669,2364,-1998,1034,-271,157,-1137,325,888,553,1476,-1137,591,482,-222,-3014,74,629,1663,-138,-2288,-157,-842,482,482,-22,354,297,1245,-984,-1245,199,-797,-1860,297,629,935,11
-74,-384,-935,-222,1727,1727,2288,271,711,-157,177,-888,-1998,61,842,1417,-482,-271,-629,1793,-591,-1663,629,797,2519,-61,-246,-2069,2679,553,-415,753,1998,888,-2761,1663,-2141,-354,-1663,2288,2141,984,-22,-448,1137,-1727,842,-222,984,-629,-1245,0,-199,-271,1358,-482,-842,-1417,-888,711,629,-1860,-222,-325,11
-711,-1727,-1358,-2288,177,-2599,-797,1190,1417,797,-61,222,-753,-935,-2288,1034,2141,-1929,-1301,246,984,415,-482,-1663,-2214,1417,591,-629,1537,-1476,482,199,669,-1793,-935,842,1998,1417,-297,842,103,-120,-2519,-74,-482,1663,61,-1663,-753,-1929,984,-246,-553,553,222,1085,-1190,-1085,-711,103,-1245,49,1476,2141,11
797,-415,-1245,1190,1358,-177,753,591,1537,-888,711,-753,-1727,-797,1860,-49,30,384,-354,2844,-448,-1358,1663,935,1301,1137,-448,-669,2288,1301,-138,711,3553,1860,-30,-199,-629,74,-2069,2214,-1085,935,1137,-1600,-1793,984,-22,-1600,-88,-297,88,-517,177,1600,1929,-753,591,-1190,-1600,-1929,1727,-669,120,-711,11
-1301,-1727,-1190,-415,1929,517,1476,199,629,384,711,-1727,-1301,-415,-842,-88,-1034,384,-669,2441,-1663,-415,74,1537,2069,1417,-325,-1245,2519,-2,-1537,-354,1358,629,-1358,888,-2519,-39,-517,1727,1998,-49,1793,-711,-1034,-120,1245,-553,2141,-842,-1663,1358,1600,415,1358,-797,-199,-1793,-797,-629,842,-2288,384,-629,11
-354,-1190,-753,-1417,271,-2141,-1476,2844,1476,74,888,1358,-1417,-325,-1793,-984,1301,-984,-797,1600,1727,-753,120,-1929,-797,2288,325,-297,1417,30,629,711,1417,-415,-1085,1727,3188,669,-15,711,-984,-157,-2599,591,415,591,553,-3014,-517,-669,669,-415,15,-842,629,1998,49,-629,-448,-842,-797,1476,935,935,11
